latitud;longitud;direccion;B93;B95;B97;DIESEL;keresone;marca;
-34.63237589057742;-71.35925084352493;ORLANDI 157, Santa Cruz;811.0;845.0;877.0;606.0;668.0;COPEC;
-34.63451882377423;-71.35531604290009;Pacifico Marin  9, Santa Cruz;811.0;845.0;877.0;606.0;695.0;SHELL;
-34.152673708594655;-70.72753429412842;Av. Errazuriz 206, Santa Cruz;811.0;845.0;877.0;606.0;627.0;SHELL;
-34.010888190767325;-70.70387721061707;CARRETERA PANAMERICANA SUR 75, Graneros;814.0;848.0;884.0;607.0;657.0;COPEC;
-34.25070738389127;-70.98962366580963;Cartera H-30 KM. 25 4181, Doñihue;815.0;850.0;885.0;608.0;659.0;COPEC;
-34.01193761349802;-70.70410251617431;AV. CACHAPOAL 2, Doñihue;808.0;842.0;876.0;608.0;659.0;COPEC;
-34.165200469988136;-70.74508130550385;Parcelación Patria Nueva sitio 4, Mostazal;807.0;841.0;870.0;610.0;656.0;COPEC;
-34.170302528439535;-70.75045377016068;ALAMEDA 790, Rancagua;814.0;849.0;883.0;613.0;655.0;COPEC;
-34.16552892844925;-70.71568161249161;O\\\'CARROL 1109, Rancagua;814.0;849.0;883.0;613.0;654.0;PETROBRAS;
-34.167073553805295;-70.73131084442139;La Compañía 0353, Rancagua;814.0;847.0;882.0;613.0;652.0;SHELL;
-34.15639375589506;-70.72974979877472;O`Higgins / Balmaceda 9, Rancagua;816.0;851.0;885.0;615.0;657.0;SHELL;
-34.173393795284845;-70.75066566467285;Republica de Chile 0180, Rancagua;816.0;851.0;885.0;615.0;657.0;COPEC;
-34.173318345755135;-70.71614027023315;MILLÁN 1023, Rancagua;817.0;852.0;886.0;616.0;656.0;COPEC;
-34.16832521224155;-70.77459633350372;Avda. Miguel Ramirez 199, Rancagua;817.0;850.0;885.0;616.0;655.0;COPEC;
-34.175914658439986;-70.69719314575195;camino a Doñihue     Km. 2, Rancagua;816.0;850.0;884.0;616.0;654.0;COPEC;
-34.14568152952483;-70.74075758457184;AV. MIGUEL RAMIREZ 1325, Rancagua;817.0;850.0;885.0;616.0;655.0;PETROBRAS;
-34.17682002048916;-70.65785318613052;Av. Kennedy 1601, Rancagua;814.0;850.0;885.0;616.0;651.0;PETROBRAS;
-34.17245289044291;-70.72726607322693;A. San Juan 133, Rancagua;817.0;850.0;885.0;616.0;655.0;COPEC;
-34.16754847603534;-70.723135471344;Membrillar 496, Rancagua;817.0;848.0;885.0;616.0;655.0;SHELL;
-34.16422396431306;-70.7501882314682;Avda. La Victoria/O´Higgins 00, Rancagua;818.0;851.0;886.0;616.0;654.0;SHELL;
-34.18271351245914;-70.72727411985397;ABDON YARRA 991, Machalí;816.0;850.0;885.0;617.0;655.0;COPEC;
-34.16327407977344;-70.73925018310547;CARRETERA EL COBRE 512, Rancagua;818.0;853.0;888.0;619.0;659.0;COPEC;
-34.182695761595426;-70.72723925113678;RECREO 238, Rancagua;817.0;853.0;888.0;619.0;654.0;SHELL;
-34.15399216892615;-70.7680356502533;Carretera Eduardo Frei Montalva 320, Rancagua;818.0;853.0;888.0;619.0;659.0;SHELL;
